1- tie between 2 processes in arrival and priority

#id arrival runtime priority
1    7    9    1    
2    7    10    1    
3    10    7    4    
4    16    7    5    
5    19    13    1    
6    19    13    1    
7    25    3    0    
8    25    12    10    
9    30    9    0    
10    32    0    10    


2- ALL processes arrive at the same time

#id arrival runtime priority
1    7    10    1    
2    7    9    1    
3    7    7    4    
4    7    7    5    
5    7    13    1    
6    7    13    1    
7    7    3    0    
8    7    12    10    
9    7    9    0    
10    7    0    10    


3- multiple ties
#id arrival runtime priority
1    7    9    1    
2    7    9    1    
3    10    7    4    
4    16    7    5    
5    19    13    1    
6    19    13    1    
7    25    3    0    
8    25    12    10    
9    30    9    0    
10    32    0    10    


4- same arrival time

#id arrival runtime priority 
1    7    9    1    
2    7    9    1    
3    7    7    4    
4    7    7    5    
5    7    13    1    
6    7    13    1    
7    7    3    0    
8    7    12    10    
9    7    9    0    
10    7    0    10    



5- same arrival and runtime

#id arrival runtime priority
1    7    0    1    
2    7    0    1    
3    7    0    4    
4    7    0    5    
5    7    0    1    
6    7    0    1    
7    7    0    0    
8    7    0    10    
9    7    0    0    
10    7    0    10    

