1- tie between 2 processes in arrival and priority

#id arrival runtime priority memory
1    7    9    1    130
2    7    10    1    96
3    10    7    4    230
4    16    7    5    251
5    19    13    1    87
6    19    13    1    175
7    25    3    0    211
8    25    12    10    18
9    30    9    0    112
10    32    0    10    54


2- ALL processes arrive at the same time

#id arrival runtime priority memory
1    7    10    1    130
2    7    9    1    96
3    7    7    4    230
4    7    7    5    251
5    7    13    1    87
6    7    13    1    175
7    7    3    0    211
8    7    12    10    18
9    7    9    0    112
10    7    0    10    54


3- multiple ties
#id arrival runtime priority memory
1    7    9    1    130
2    7    9    1    96
3    10    7    4    230
4    16    7    5    251
5    19    13    1    87
6    19    13    1    175
7    25    3    0    211
8    25    12    10    18
9    30    9    0    112
10    32    0    10    54


4- same arrival time

#id arrival runtime priority memory
1    7    9    1    130
2    7    9    1    96
3    7    7    4    230
4    7    7    5    251
5    7    13    1    87
6    7    13    1    175
7    7    3    0    211
8    7    12    10    18
9    7    9    0    112
10    7    0    10    54



5- same arrival and runtime

#id arrival runtime priority memory
1    7    0    1    130
2    7    0    1    96
3    7    0    4    230
4    7    0    5    251
5    7    0    1    87
6    7    0    1    175
7    7    0    0    211
8    7    0    10    18
9    7    0    0    112
10    7    0    10    54



6- MEMORY

#id arrival runtime priority memory
1    7    19    1    200
2    9    16    1    210
3    11    13    4    170
4    13    10    5    100
5    14    8    5    80
6    15    6    1    190
7    17    3    1    90


7- MEMORY

#id arrival runtime priority memory
1    7    25    1    200
2    9    22    1    210
3    11    19    4    170
4    13    16    5    100
5    14    14    5    60
6    15    12    1    30
7    17    9    1    10
8    18    7    1    6
9    19    5    1    2
